id,event_id,game_id,season_id,player_id,goalie_id,team_id,opponent_team_id,home,shot_order,goal,winning_goal,seconds
130_shootout_191,191,130,5,21,155,2,4,0,5,1,0,8
130_shootout_184,184,130,5,44,123,4,2,1,5,0,0,9
130_shootout_192,192,130,5,189,155,2,4,0,6,0,0,10
130_shootout_185,185,130,5,34,123,4,2,1,6,0,0,11
130_shootout_193,193,130,5,21,155,2,4,0,7,0,0,12
130_shootout_186,186,130,5,36,123,4,2,1,7,1,1,13
136_shootout_198,198,136,5,89,123,6,2,0,1,0,0,0
136_shootout_194,194,136,5,189,211,2,6,1,1,1,0,1
136_shootout_199,199,136,5,209,123,6,2,0,2,0,0,2
136_shootout_195,195,136,5,192,211,2,6,1,2,0,0,3
136_shootout_200,200,136,5,75,123,6,2,0,3,1,0,4
136_shootout_196,196,136,5,21,211,2,6,1,3,0,0,5
136_shootout_201,201,136,5,63,123,6,2,0,4,0,0,6
136_shootout_197,197,136,5,169,211,2,6,1,4,1,1,7
136_shootout_203,203,136,5,65,123,6,2,0,5,0,0,8
136_shootout_202,202,136,5,189,211,2,6,1,5,0,0,9
138_shootout_204,204,138,5,32,64,3,6,1,1,1,0,0
138_shootout_205,205,138,5,89,85,6,3,0,1,0,0,1
138_shootout_206,206,138,5,31,64,3,6,1,2,0,0,2
138_shootout_207,207,138,5,75,85,6,3,0,2,0,0,3
138_shootout_208,208,138,5,98,64,3,6,1,3,0,0,4
138_shootout_209,209,138,5,210,85,6,3,0,3,1,0,5
138_shootout_210,210,138,5,83,64,3,6,1,4,0,0,6
138_shootout_211,211,138,5,63,85,6,3,0,4,0,0,7
138_shootout_212,212,138,5,31,64,3,6,1,5,1,1,8
138_shootout_213,213,138,5,209,85,6,3,0,5,0,0,9
139_shootout_214,214,139,5,15,155,1,4,1,1,1,1,0
139_shootout_215,215,139,5,231,6,4,1,0,1,0,0,1
139_shootout_216,216,139,5,13,155,1,4,1,2,1,0,2
139_shootout_217,217,139,5,205,6,4,1,0,2,0,0,3
139_shootout_218,218,139,5,78,155,1,4,1,3,0,0,4
139_shootout_220,220,139,5,36,6,4,1,0,3,0,0,5
139_shootout_219,219,139,5,13,155,1,4,1,4,0,0,6
139_shootout_221,221,139,5,42,6,4,1,0,4,0,0,7
156_shootout_232,232,156,5,31,123,3,2,1,1,1,1,0
156_shootout_233,233,156,5,189,28,2,3,0,1,0,0,1
156_shootout_234,234,156,5,32,123,3,2,1,2,0,0,2
156_shootout_235,235,156,5,192,28,2,3,0,2,0,0,3
156_shootout_236,236,156,5,198,123,3,2,1,3,0,0,4
156_shootout_237,237,156,5,25,28,2,3,0,3,0,0,5
156_shootout_238,238,156,5,31,123,3,2,1,4,0,0,6
156_shootout_239,239,156,5,21,28,2,3,0,4,0,0,7
156_shootout_240,240,156,5,138,123,3,2,1,5,0,0,8
156_shootout_241,241,156,5,169,28,2,3,0,5,0,0,9
163_shootout_242,242,163,5,78,85,1,3,1,1,0,0,0
163_shootout_244,244,163,5,201,19,3,1,0,1,0,0,1
163_shootout_243,243,163,5,13,85,1,3,1,2,0,0,2
163_shootout_246,246,163,5,31,19,3,1,0,2,0,0,3
163_shootout_245,245,163,5,15,85,1,3,1,3,1,0,4
163_shootout_247,247,163,5,83,19,3,1,0,3,1,0,5
163_shootout_248,248,163,5,8,85,1,3,1,4,0,0,6
163_shootout_250,250,163,5,32,19,3,1,0,4,0,0,7
163_shootout_249,249,163,5,13,85,1,3,1,5,1,0,8
163_shootout_251,251,163,5,31,19,3,1,0,5,1,0,9
163_shootout_252,252,163,5,78,85,1,3,1,6,1,1,10
163_shootout_253,253,163,5,31,19,3,1,0,6,0,0,11
173_shootout_172,172,173,5,1,28,1,3,1,1,1,0,0
173_shootout_175,175,173,5,31,6,3,1,0,1,1,0,1
173_shootout_173,173,173,5,13,28,1,3,1,2,0,0,2
173_shootout_176,176,173,5,138,6,3,1,0,2,0,0,3
173_shootout_174,174,173,5,181,28,1,3,1,3,1,1,4
173_shootout_177,177,173,5,83,6,3,1,0,3,0,0,5
173_shootout_178,178,173,5,78,28,1,3,1,4,1,0,6
173_shootout_179,179,173,5,32,6,3,1,0,4,0,0,7
179_shootout_225,225,179,5,1,228,1,4,0,1,0,0,0
179_shootout_222,222,179,5,231,6,4,1,1,1,0,0,1
179_shootout_226,226,179,5,78,228,1,4,0,2,1,1,2
179_shootout_223,223,179,5,34,6,4,1,1,2,0,0,3
179_shootout_227,227,179,5,13,228,1,4,0,3,0,0,4
179_shootout_224,224,179,5,205,6,4,1,1,3,0,0,5
179_shootout_230,230,179,5,15,228,1,4,0,4,0,0,6
179_shootout_228,228,179,5,36,6,4,1,1,4,0,0,7
179_shootout_231,231,179,5,78,228,1,4,0,5,0,0,8
179_shootout_229,229,179,5,42,6,4,1,1,5,0,0,9
